rounds,similarity,gateways,collaborators
1,0.965,8,6
2,0.964,7,6
3,0.917,7,6
4,0.955,8,6
5,0.927,7,6
6,0.945,7,6
7,0.932,8,6
8,0.911,7,6
9,0.921,7,6
10,0.936,3,6
11,0.957,8,6
12,0.917,7,6
13,0.91,8,6
14,0.997,3,6
15,0.999,3,6
16,0.921,7,6
17,0.928,8,6
18,0.956,8,6
19,0.987,9,6
20,0.934,7,6
21,0.924,8,6
22,0.912,7,6
23,0.975,9,6
24,0.91,9,6
25,0.986,9,6
26,0.958,8,4
27,0.999,5,6
28,0.972,10,6
29,1,4,6
30,0.961,10,6
31,0.941,9,6
32,0.977,9,5
33,0.989,9,6
34,0.925,9,6
35,0.981,10,6
36,0.904,8,6
37,0.934,8,6
38,0.946,8,6
39,0.989,9,6
40,0.932,9,6
41,0.963,10,6
42,0.952,10,6
43,0.967,9,6
44,0.978,9,6
45,0.956,8,6
46,0.994,8,6
47,0.92,9,6
48,0.956,9,6
49,0.935,8,6
50,0.981,8,6
51,0.981,8,6
52,0.943,6,6
53,0.958,7,6
54,0.915,8,6
55,0.979,8,6
56,0.901,7,4
57,1,1,1
58,0.963,9,6
59,1,1,1
60,0.989,8,6
61,0.969,8,6
62,0.941,5,5
63,0.947,7,6
64,0.988,8,6
65,0.944,9,6
66,0.943,8,6
67,0.939,9,6
68,0.9615,9,6
69,0.932,8,6
70,0.931,7,6
71,0.939,9,6
72,0.966,5,6
73,0.973,5,6
74,0.957,9,6
75,0.997,7,6
76,0.902,9,6
77,0.937,7,6
78,0.955,8,6
79,0.966,9,6
80,0.927,10,6
81,0.973,8,6
82,0.959,8,6
83,0.911,10,6
84,0.976,7,6
85,0.908,6,4
86,0.872,6,6
87,0.982,9,6
88,0.934,6,6
89,0.975,8,6
90,0.929,9,6
91,0.958,8,5
92,0.964,8,6
93,0.993,7,6
94,0.978,10,6
95,0.964,9,6
96,0.936,9,6
97,0.9675,9.5,6
98,0.932,7,6
99,0.893,9,6
100,0.918,9,6
101,0.963,9,6
102,0.965,9,6
103,0.914,10,6
104,0.927,9,6
105,0.927,8,6
106,0.932,7,6
107,0.954,10,6
108,0.986,7,6
109,0.964,9,6
110,0.978,9,6
111,0.952,8,6
112,0.96,8,6
113,0.993,9,6
114,0.931,9,4
115,0.982,9,6
116,0.981,9,6
117,0.935,9,6
118,0.968,7,6
119,0.934,8,6
120,0.925,8,5
121,0.957,9,6
122,0.986,7,6
123,0.936,9,6
124,0.963,9,6
125,0.944,9,6
126,0.93,9,6
127,0.901,8,6
128,0.931,8,6
129,0.913,9,6
130,0.945,9,6
131,0.993,8,6
132,0.94,8,6
133,0.938,8,6
134,0.959,8,6
135,0.913,9,6
136,0.951,6,6
137,0.922,8,6
138,0.969,8,6
139,0.969,6,6
140,0.923,8,6
141,0.929,8,6
142,0.902,9,6
143,0.962,9,6
144,0.921,10,4
145,0.977,9,6
146,0.95,8,6
147,0.864,9,6
148,0.992,6,6
149,0.906,9,6
150,0.902,7,5
151,0.949,9,6
152,0.991,6,6
153,0.956,9,6
154,0.935,8,6
155,0.917,10,6
156,0.973,9,6
157,0.959,9,6
158,0.923,9,6
159,0.921,6,6
160,0.99,9,6
161,0.963,8,6
162,0.924,6,6
163,0.99,9,6
164,0.897,7,6
165,0.933,8,6
166,0.962,8,6
167,0.99,8,6
168,0.937,7,6
169,0.944,9,6
170,0.959,7,6
171,0.916,9,6
172,0.983,8,6
173,0.895,8,4
174,0.988,8,6
175,0.949,8,6
176,0.936,7,6
177,0.996,7,6
178,0.948,9,6
179,0.928,7,5
180,0.942,8,6
181,0.993,7,6
182,0.952,10,6
183,0.967,9,6
184,0.91,10,6
185,0.9595,9.5,6
186,0.936,8,6
187,0.935,9,6
188,0.936,7,6
189,0.954,9,6
190,0.948,9,6
191,0.98,9,6
192,0.957,9,6
193,0.887,8,6
194,0.909,6,6
195,0.931,8,6
196,0.966,5,6
197,0.971,9,6
198,0.936,8,6
199,0.943,10,6
200,0.896,8,6
201,0.991,9,6
202,0.896,9,4
203,0.984,8,6
204,0.994,10,6
205,0.921,9,6
206,0.998,9,6
207,0.94,9,6
208,0.913,7,5
209,0.939,10,6
210,0.928,7,6
211,0.955,8,6
212,0.93,9,6
213,0.881,9,6
214,0.9725,8.5,6
215,0.945,8,6
216,0.888,8,6
217,0.929,8,6
218,0.991,8,6
219,0.931,8,6
220,0.953,8,6
221,0.988,10,6
222,0.914,8,6
223,0.936,9,6
224,0.928,10,6
225,0.919,8,6
226,0.974,8,6
227,0.904,9,6
228,0.959,9,6
229,0.891,9,6
230,0.974,9,6
231,0.884,9,4
232,0.978,8,6
233,0.925,8,6
234,0.926,8,6
235,0.995,9,6
236,0.936,9,6
237,0.921,8,5
238,0.892,10,6
239,0.918,9,6
240,0.965,9,6
241,0.954,9,6
242,0.893,10,6
243,0.9025,8.5,6
244,0.943,9,6
245,0.899,9,6
246,0.901,9,6
247,0.953,10,6
248,0.942,8,6
249,0.949,9,6
250,0.998,10,6
251,0.918,9,6
252,0.961,8,6
253,0.92,9,6
254,0.987,7,6
255,0.964,7,6
256,0.918,9,6
257,0.96,9,6
258,0.906,9,6
259,0.968,7,6
260,0.877,8,4
261,1,1,1
262,0.951,10,6
263,0.976,9,6
264,0.962,9,6
265,0.974,8,6
266,0.926,7,5
267,0.928,9,6
268,0.932,9,6
269,0.965,9,6
270,0.962,8,6
271,0.899,9,6
272,0.979,9,6
273,0.953,8,6
274,0.918,9,6
275,0.955,8,6
276,0.979,9,6
277,0.941,9,6
278,0.926,8,6
279,0.997,8,6
280,0.917,9,6
281,0.883,10,6
282,0.894,10,6
283,0.674,8,6
284,0.933,8,6
285,0.924,10,6
286,0.992,7,6
287,0.922,10,6
288,0.971,7,6
289,0.919,7,4
290,0.966,9,6
291,0.986,9,6
292,0.923,9,6
293,0.992,7,6
294,0.902,7,6
295,0.929,6,5
296,0.949,8,6
297,0.96,8,6
298,0.989,8,6
299,0.969,8,6
300,0.907,8,6
301,0.955,7.5,6
302,0.924,9,6
303,0.913,8,6
304,0.965,7,6
305,0.995,10,6
306,0.961,8,6
307,0.935,9,6
308,0.99,9,6
309,0.9,10,6
310,0.889,9,6
311,0.869,9,6
312,0.823,9,6
313,0.963,8,6
314,0.91,9,6
315,0.944,7,6
316,0.926,7,6
317,0.992,9,6
318,0.888,9,4
319,0.92,9,6
320,0.987,7,6
321,0.948,8,6
322,0.974,10,6
323,0.934,9,6
324,0.923,10,5
325,0.952,8,6
326,0.958,10,6
327,0.918,10,6
328,0.949,6,6
329,0.903,9,6
330,0.801,9.5,6
331,0.909,9,6
332,0.895,9,6
333,0.888,8,6
334,0.991,9,6
335,0.918,10,6
336,0.917,10,6
337,0.917,9,6
338,0.919,10,6
339,0.634,10,6
340,0.871,9,6
341,0.951,9,6
342,0.88,7,6
343,0.915,8,6
344,0.965,10,6
345,0.903,8,6
346,0.999,8,6
347,0.892,7,4
348,0.968,9,6
349,0.97,9,6
350,0.933,10,6
351,0.992,10,6
352,0.934,9,6
353,0.933,9,5
354,0.938,8,6
355,0.925,10,6
356,0.949,7,6
357,0.9,8,6
358,0.899,8,6
359,0.964,8,6
360,0.896,8,6
361,0.917,7,6
362,0.934,8,6
363,0.998,10,6
364,0.9,10,6
365,0.952,9,6
