time,similarity,gateways,collaborators
2019-05-05 23:18:04,0.9840000000000001,8.0,6.0
2019-05-05 23:18:09,0.988,8.0,6.0
2019-05-05 23:18:13,0.963,8.0,6.0
2019-05-05 23:18:16,0.8859999999999999,8.0,5.0
2019-05-05 23:18:19,0.976,9.0,6.0
2019-05-05 23:18:23,0.929,8.0,6.0
2019-05-05 23:18:26,0.875,8.0,6.0
2019-05-05 23:18:30,0.985,7.0,6.0
2019-05-05 23:18:33,0.9179999999999999,9.0,6.0
2019-05-05 23:18:36,0.968,7.0,6.0
2019-05-05 23:18:43,0.981,9.0,6.0
2019-05-05 23:18:48,0.9540000000000001,9.0,6.0
2019-05-05 23:18:51,0.899,9.0,6.0
2019-05-05 23:18:54,0.912,8.0,6.0
2019-05-05 23:18:58,0.9640000000000001,8.0,6.0
2019-05-05 23:19:01,0.983,8.0,4.0
2019-05-05 23:19:07,0.948,8.0,6.0
2019-05-05 23:19:09,0.909,9.0,6.0
2019-05-05 23:19:12,0.9670000000000001,8.0,6.0
2019-05-05 23:19:16,0.997,4.0,2.0
2019-05-05 23:19:22,1.0,1.0,1.0
2019-05-05 23:19:25,0.9990000000000001,6.0,2.0
2019-05-05 23:19:29,0.9990000000000001,8.0,1.0
2019-05-05 23:19:34,0.9109999999999999,7.0,6.0
2019-05-05 23:19:39,0.9840000000000001,8.0,6.0
2019-05-05 23:19:43,0.929,8.0,6.0
2019-05-05 23:19:46,0.956,6.0,5.0
2019-05-05 23:19:49,0.9740000000000001,7.0,6.0
2019-05-05 23:19:53,0.879,8.0,6.0
2019-05-05 23:19:56,0.935,7.0,6.0
2019-05-05 23:20:00,0.9209999999999999,8.0,6.0
2019-05-05 23:20:03,0.938,7.0,6.0
2019-05-05 23:20:06,0.973,7.0,6.0
2019-05-05 23:20:13,0.983,5.0,6.0
2019-05-05 23:20:18,0.917,9.0,6.0
2019-05-05 23:20:21,0.925,7.0,6.0
2019-05-05 23:20:24,0.904,8.0,6.0
2019-05-05 23:20:28,0.998,8.0,6.0
2019-05-05 23:20:31,0.924,7.0,4.0
2019-05-05 23:20:37,0.9420000000000001,7.0,6.0
2019-05-05 23:20:39,0.966,7.0,6.0
2019-05-05 23:20:42,0.903,7.0,6.0
2019-05-05 23:20:46,1.0,4.0,2.0
2019-05-05 23:20:52,0.976,7.0,3.0
2019-05-05 23:20:55,0.9990000000000001,8.0,6.0
2019-05-05 23:20:59,0.988,7.0,5.0
2019-05-05 23:21:02,0.99,7.0,6.0
2019-05-05 23:21:04,0.996,6.0,3.0
2019-05-05 23:21:05,0.9159999999999999,7.0,6.0
2019-05-05 23:21:08,0.955,9.0,6.0
2019-05-05 23:21:09,0.966,8.0,6.0
2019-05-05 23:21:10,0.986,8.0,6.0
2019-05-05 23:21:13,0.9465000000000001,8.0,6.0
2019-05-05 23:21:15,0.904,8.0,5.0
2019-05-05 23:21:16,0.893,9.0,5.0
2019-05-05 23:21:18,0.9179999999999999,9.0,5.0
2019-05-05 23:21:19,0.97,9.0,6.0
2019-05-05 23:21:23,0.884,7.0,6.0
2019-05-05 23:21:26,0.9620000000000001,9.0,6.0
2019-05-05 23:21:30,0.97,9.0,6.0
2019-05-05 23:21:33,0.9359999999999999,8.0,6.0
2019-05-05 23:21:36,0.92,8.0,6.0
2019-05-05 23:21:43,0.987,6.0,6.0
2019-05-05 23:21:48,0.956,10.0,6.0
2019-05-05 23:21:51,0.9359999999999999,9.0,6.0
2019-05-05 23:21:54,0.93,10.0,6.0
2019-05-05 23:21:58,0.9440000000000001,9.0,6.0
2019-05-05 23:22:01,0.914,8.0,4.0
2019-05-05 23:22:07,0.965,10.0,6.0
2019-05-05 23:22:09,0.983,6.0,6.0
2019-05-05 23:22:12,0.993,8.0,6.0
2019-05-05 23:22:16,0.9990000000000001,4.0,2.0
2019-05-05 23:22:22,1.0,1.0,1.0
2019-05-05 23:22:25,0.977,9.0,6.0
2019-05-05 23:22:29,0.9670000000000001,6.0,5.0
2019-05-05 23:22:32,0.983,7.0,6.0
2019-05-05 23:22:35,0.942,7.0,4.5
2019-05-05 23:22:37,0.966,9.0,6.0
2019-05-05 23:22:39,0.9179999999999999,8.0,6.0
2019-05-05 23:22:40,0.991,8.0,6.0
2019-05-05 23:22:43,0.9525,8.0,6.0
2019-05-05 23:22:45,0.925,9.0,5.0
2019-05-05 23:22:46,0.9179999999999999,6.0,5.0
2019-05-05 23:22:48,0.924,8.0,5.0
2019-05-05 23:22:49,0.953,9.0,6.0
2019-05-05 23:22:53,0.934,7.0,6.0
2019-05-05 23:22:56,0.9420000000000001,7.0,6.0
2019-05-05 23:23:00,0.93,8.0,6.0
2019-05-05 23:23:03,0.9079999999999999,8.0,6.0
2019-05-05 23:23:06,0.9940000000000001,8.0,6.0
2019-05-05 23:23:13,0.9640000000000001,8.0,6.0
2019-05-05 23:23:18,0.938,9.0,6.0
2019-05-05 23:23:21,0.9570000000000001,9.0,6.0
2019-05-05 23:23:24,0.922,8.0,6.0
2019-05-05 23:23:28,0.9229999999999999,7.0,6.0
2019-05-05 23:23:31,0.907,8.0,4.0
2019-05-05 23:23:37,0.919,8.0,6.0
2019-05-05 23:23:39,0.965,8.0,6.0
2019-05-05 23:23:43,0.975,9.0,6.0
2019-05-05 23:23:46,0.98,4.0,2.0
2019-05-05 23:23:52,0.996,2.0,3.0
2019-05-05 23:23:55,0.956,7.0,6.0
2019-05-05 23:23:59,0.956,9.0,5.0
2019-05-05 23:24:02,0.995,9.0,6.0
2019-05-05 23:24:05,0.935,7.0,4.5
2019-05-05 23:24:07,0.956,9.0,6.0
2019-05-05 23:24:09,0.995,8.0,6.0
2019-05-05 23:24:10,0.937,8.0,6.0
2019-05-05 23:24:13,0.9445,9.5,6.0
2019-05-05 23:24:15,0.945,8.0,5.0
2019-05-05 23:24:16,0.879,5.0,5.0
2019-05-05 23:24:18,0.9059999999999999,8.0,5.0
2019-05-05 23:24:19,0.956,7.0,6.0
2019-05-05 23:24:23,0.9079999999999999,10.0,6.0
2019-05-05 23:24:26,0.888,10.0,6.0
2019-05-05 23:24:30,0.95,10.0,6.0
2019-05-05 23:24:33,0.909,9.0,6.0
2019-05-05 23:24:36,0.914,9.0,6.0
2019-05-05 23:24:43,0.9440000000000001,8.0,6.0
2019-05-05 23:24:48,0.945,9.0,6.0
2019-05-05 23:24:51,0.9079999999999999,10.0,6.0
2019-05-05 23:24:54,0.9179999999999999,10.0,6.0
2019-05-05 23:24:58,0.946,10.0,6.0
2019-05-05 23:25:01,0.922,6.0,4.0
2019-05-05 23:25:07,0.917,10.0,6.0
2019-05-05 23:25:09,0.9940000000000001,8.0,6.0
2019-05-05 23:25:12,0.938,8.0,6.0
2019-05-05 23:25:16,0.877,7.0,2.0
2019-05-05 23:25:22,1.0,1.0,1.0
2019-05-05 23:25:25,0.966,8.0,6.0
2019-05-05 23:25:29,0.978,9.0,5.0
2019-05-05 23:25:32,0.976,9.0,6.0
2019-05-05 23:25:35,0.7515000000000001,7.5,4.5
2019-05-05 23:25:37,0.953,10.0,6.0
2019-05-05 23:25:39,0.904,8.0,6.0
2019-05-05 23:25:40,0.9840000000000001,8.0,6.0
2019-05-05 23:25:43,0.9425,8.0,6.0
2019-05-05 23:25:45,0.9159999999999999,8.0,5.0
2019-05-05 23:25:46,0.909,6.0,5.0
2019-05-05 23:25:48,0.912,7.0,5.0
2019-05-05 23:25:49,0.9440000000000001,9.0,6.0
2019-05-05 23:25:53,0.9279999999999999,9.0,6.0
2019-05-05 23:25:56,1.0,1.0,1.0
2019-05-05 23:26:00,0.997,7.0,6.0
2019-05-05 23:26:03,0.9940000000000001,8.0,6.0
2019-05-05 23:26:06,0.998,8.0,6.0
2019-05-05 23:26:14,0.893,10.0,6.0
2019-05-05 23:26:18,0.927,10.0,6.0
2019-05-05 23:26:21,0.9279999999999999,9.0,6.0
2019-05-05 23:26:24,0.9229999999999999,9.0,6.0
2019-05-05 23:26:28,0.915,10.0,6.0
2019-05-05 23:26:31,0.9159999999999999,9.0,4.0
2019-05-05 23:26:37,0.912,10.0,6.0
2019-05-05 23:26:39,0.917,9.0,6.0
2019-05-05 23:26:42,0.96,9.0,6.0
2019-05-05 23:26:46,0.966,7.0,2.0
2019-05-05 23:26:52,0.932,4.0,3.0
2019-05-05 23:26:55,0.9620000000000001,6.0,6.0
2019-05-05 23:26:59,0.9520000000000001,7.0,5.0
2019-05-05 23:27:02,0.97,8.0,6.0
2019-05-05 23:27:05,0.9665000000000001,6.0,4.5
2019-05-05 23:27:07,0.927,9.0,6.0
2019-05-05 23:27:09,0.958,7.0,6.0
2019-05-05 23:27:10,0.9540000000000001,8.0,6.0
2019-05-05 23:27:13,0.948,8.0,6.0
2019-05-05 23:27:15,0.934,7.0,5.0
2019-05-05 23:27:16,0.893,9.0,5.0
2019-05-05 23:27:18,0.9470000000000001,6.0,5.0
2019-05-05 23:27:19,0.614,9.0,6.0
2019-05-05 23:27:23,0.925,7.0,6.0
2019-05-05 23:27:26,0.8859999999999999,9.0,6.0
2019-05-05 23:27:30,0.937,8.0,6.0
2019-05-05 23:27:33,0.975,8.0,6.0
2019-05-05 23:27:36,0.985,8.0,6.0
2019-05-05 23:27:44,0.922,9.0,6.0
2019-05-05 23:27:48,0.943,9.0,6.0
2019-05-05 23:27:51,0.9390000000000001,7.0,6.0
2019-05-05 23:27:54,0.912,8.0,6.0
2019-05-05 23:27:58,0.991,10.0,6.0
2019-05-05 23:28:01,0.912,9.0,4.0
2019-05-05 23:28:07,0.9279999999999999,10.0,6.0
2019-05-05 23:28:09,0.953,8.0,6.0
2019-05-05 23:28:12,0.9259999999999999,9.0,6.0
2019-05-05 23:28:16,0.867,5.0,2.0
2019-05-05 23:28:22,0.9329999999999999,8.0,3.0
2019-05-05 23:28:25,0.985,9.0,6.0
2019-05-05 23:28:29,0.9329999999999999,8.0,5.0
2019-05-05 23:28:32,0.9940000000000001,7.0,6.0
2019-05-05 23:28:35,0.9069999999999999,6.5,4.5
2019-05-05 23:28:37,0.917,8.0,6.0
2019-05-05 23:28:39,0.912,8.0,6.0
2019-05-05 23:28:40,0.956,10.0,6.0
2019-05-05 23:28:43,0.946,7.0,6.0
2019-05-05 23:28:45,0.935,9.0,5.0
2019-05-05 23:28:46,0.99,6.0,5.0
